25 20
#############            
#...........#    ########
#...s...s...######.....g#
#...................A...#
#...........######......#
#.....s.....#    #......#
#.......k...#    #....h.#
#..%.....o..#    #..O...#
#####..######    ###..###
    #..#           #..#  
    #..#           #..#  
    #..#         ###..###
  ###..####      #..H...#
  #..p....#      #......#
  #.......#      #..K...#
  #.......#      #......#
  #.......#      #.D...Ld
  #.......#      #......#
  #.......#      #......#
  #########      ########
